good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
TRUE,0.9,8,8500,933,0.10243,0.79616,0.04,0.33346,0.40678,0.92545,3.929418925714293,2.9698816437465
FALSE,0.9,8,54623,2533,0.0976,0.73559,0.08,0.22128,0.44068,0.84441,4.737375548745249,3.403635189790548
TRUE,1,8,9444,1028,0.10418,0.7978,0.03,0.33913,0.44492,0.91302,3.9751559784066894,3.011993114659257
FALSE,1,8,60692,2807,0.09796,0.73677,0.07,0.21988,0.44915,0.83901,4.78313144915058,3.448242412634439
TRUE,0.1,9,944,81,0.11693,0.5482,0.425,0.13131,0.10593,0.98217,2.974971994298069,1.9084850188786497
FALSE,0.1,9,6069,289,0.10557,0.69053,0.14,0.14936,0.25424,0.89843,3.7831171374904673,2.4608978427565478
TRUE,0.2,9,1889,197,0.10911,0.75816,0.06,0.25718,0.27542,0.94706,3.2762319579218335,2.294466226161593
FALSE,0.2,9,12138,570,0.10541,0.69791,0.07,0.17184,0.36441,0.84873,4.084147133154448,2.7558748556724915
TRUE,0.30000000000000004,9,2833,324,0.1169,0.69018,0.03,0.24478,0.27119,0.94327,3.452246574520437,2.510545010206612
FALSE,0.30000000000000004,9,18208,842,0.1004,0.71461,0.24,0.20766,0.24153,0.94003,4.260262244714977,2.9253120914996495
TRUE,0.4,9,3778,416,0.11097,0.77848,0.02,0.29275,0.38136,0.91626,3.577261953585815,2.6190933306267428
FALSE,0.4,9,24277,1088,0.09972,0.72431,0.08,0.19815,0.36441,0.86818,4.38519501831988,3.036628895362161
TRUE,0.5,9,4722,542,0.10967,0.76292,0.06,0.29738,0.35169,0.93139,3.674125982742708,2.733999286538387
FALSE,0.5,9,30346,1432,0.10011,0.72811,0.04,0.20327,0.51271,0.792,4.482101453486599,3.1559430179718366
TRUE,0.6,9,5666,615,0.10774,0.76162,0.02,0.30705,0.35593,0.93409,3.7532765701844184,2.788875115775417
FALSE,0.6,9,36415,1713,0.09762,0.73331,0.07,0.22571,0.45339,0.84117,4.561280314290289,3.2337573629655103
TRUE,0.7000000000000001,9,6611,702,0.10354,0.79032,0.02,0.31678,0.41102,0.91572,3.8202671571609645,2.846337112129805
FALSE,0.7000000000000001,9,42484,2003,0.09847,0.73109,0.07,0.21994,0.45763,0.83468,4.6282254001672145,3.3016809492935764
TRUE,0.8,9,7555,817,0.10445,0.7959,0.07,0.31329,0.36017,0.93517,3.878234468675044,2.9122220565324155
FALSE,0.8,9,48554,2228,0.09863,0.73993,0.05,0.22019,0.49153,0.8174,4.6862250139838615,3.3479151865016914
TRUE,0.9,9,8500,924,0.10402,0.80335,0.02,0.33211,0.4322,0.91464,3.929418925714293,2.9656719712201065
FALSE,0.9,9,54623,2515,0.098,0.73685,0.07,0.2213,0.44492,0.84225,4.737375548745249,3.400537989391946
TRUE,1,9,9444,1028,0.10283,0.80332,0.04,0.36081,0.44915,0.92166,3.9751559784066894,3.011993114659257
